,Brand,Year,Model,Title,UsedOrNew,Transmission,FuelType,Kilometres,CylindersinEngine,BodyType,Price,Colour
110,Dodge,2012,Journey,Dodge Journey JC,USED,Automatic,Unleaded,147589,4,Wagon,10999,White
111,Mazda,2013,6,Mazda 6 Atenza,USED,Automatic,Unleaded,105767,4,Sedan,19999,White
112,Volkswagen,2018,Caddy,Volkswagen Caddy Maxi,USED,Automatic,Premium,87293,4,Commercial,30999,White
113,Honda,2013,Civic,Honda Civic VTI-L,USED,Automatic,Unleaded,154347,4,Sedan,15990,Silver
114,Jeep,2021,Compass,Jeep Compass Launch,USED,Automatic,Unleaded,20827,4,SUV,32888,White
115,Toyota,2008,HiAce,Toyota HiAce Commuter,USED,Automatic,Unleaded,112980,4,Commercial,31900,White
116,Toyota,2010,Yaris,Toyota Yaris YR,USED,Automatic,Unleaded,147626,4,Hatchback,10995,White
117,Jeep,2014,Grand,Jeep Grand Cherokee,USED,Automatic,Diesel,114424,6,SUV,29990,Grey
118,Mazda,2009,3,Mazda 3 SP25,USED,Manual,Unleaded,153020,4,Hatchback,13950,Red
119,Ford,2016,Ranger,Ford Ranger XLT,USED,Automatic,Diesel,98700,5,Ute / Tray,36999,Blue
120,Holden,2011,Captiva,Holden Captiva CG,USED,Automatic,Diesel,183924,4,Wagon,9990,White
121,Toyota,2013,86,Toyota 86 GTS,USED,Automatic,Premium,103706,4,Coupe,24990,Orange
122,Volkswagen,2013,Golf,Volkswagen Golf 103,USED,Automatic,Premium,126532,4,Hatchback,13990,Gold
123,Mitsubishi,2013,Lancer,Mitsubishi Lancer LX,USED,Automatic,Unleaded,73421,4,Hatchback,16990,Grey
124,Toyota,2009,Camry,Toyota Camry Ateva,USED,Automatic,Unleaded,155135,4,Sedan,10995,White
125,Hyundai,2013,I20,Hyundai I20 Active,USED,Automatic,Unleaded,123330,4,Hatchback,12990,Grey
126,Mitsubishi,2014,Lancer,Mitsubishi Lancer GSR,USED,Automatic,Unleaded,44249,4,Hatchback,18990,Silver
127,Mazda,2018,2,Mazda 2 Maxx,USED,Automatic,Unleaded,27100,4,Hatchback,23999,Silver
